# Matter power spectrum P(k) at redshift z=0
# for k=1.02773e-05 to 100.203 h/Mpc,
# number of wavenumbers equal to 6990
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027731976702e-05       5.073355635122e+01 
       1.030101143589e-05       5.084694596233e+01 
       1.032475771969e-05       5.096058986948e+01 
       1.034855874433e-05       5.107449224068e+01 
       1.037241463600e-05       5.118864238029e+01 
       1.039632552118e-05       5.130305349705e+01 
       1.042029152664e-05       5.141772572715e+01 
       1.044431277945e-05       5.153264046526e+01 
       1.046838940697e-05       5.164782836844e+01 
       1.049252153684e-05       5.176326533021e+01 
       1.051670929702e-05       5.187895694512e+01 
       1.054095281575e-05       5.199490224007e+01 
       1.056525222156e-05       5.211111676929e+01 
       1.058960764328e-05       5.222758888561e+01 
       1.061401921005e-05       5.234432596716e+01 
       1.063848705129e-05       5.246131424610e+01 
       1.066301129674e-05       5.257858013140e+01 
       1.068759207640e-05       5.269609516811e+01 
       1.071222952062e-05       5.281388001498e+01 
       1.073692376001e-05       5.293191551872e+01 
       1.076167492550e-05       5.305022414837e+01 
       1.078648314832e-05       5.316879491226e+01 
       1.081134856000e-05       5.328762207433e+01 
       1.083627129237e-05       5.340673277568e+01 
       1.086125147758e-05       5.352609706588e+01 
       1.088628924806e-05       5.364572603349e+01 
       1.091138473656e-05       5.376562571255e+01 
       1.093653807614e-05       5.388579532311e+01 
       1.096174940015e-05       5.400623363799e+01 
       1.098701884227e-05       5.412694774420e+01 
       1.101234653647e-05       5.424793041610e+01 
       1.103773261703e-05       5.436917560956e+01 
       1.106317721855e-05       5.449068160044e+01 
       1.108868047594e-05       5.461248823708e+01 
       1.111424252441e-05       5.473454499768e+01 
       1.113986349948e-05       5.485687905278e+01 
       1.116554353700e-05       5.497949401021e+01 
       1.119128277312e-05       5.510237736779e+01 
       1.121708134431e-05       5.522552769096e+01 
       1.124293938735e-05       5.534896340756e+01 
       1.126885703933e-05       5.547267784725e+01 
       1.129483443767e-05       5.559665961355e+01 
       1.132087172010e-05       5.572092569982e+01 
       1.134696902467e-05       5.584546079158e+01 
       1.137312648973e-05       5.597026934732e+01 
