# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442757700e-10       7.309265058070e-15       4.815171147322e-13       2.388861114826e-19       8.628903619856e-09       4.854772059819e-10      -2.515854151457e-12 
    3       1.409375663759e-10       1.238839452003e-14       6.068719460987e-13       4.780044289752e-19       5.411291733138e-09       3.469573606874e-10      -2.211507030986e-12 
    4       1.324638935801e-10       1.446592354097e-14       6.277975858652e-13       7.971818847432e-19       3.776588565039e-09       2.639785174603e-10      -1.764116066981e-12 
    5       1.257528905524e-10       1.337973190849e-14       5.879550143861e-13       1.196705644372e-18       2.821984242393e-09       2.093815823496e-10      -1.309529286384e-12 
    6       1.208087563227e-10       1.032478440937e-14       5.173987897287e-13       1.676916098154e-18       2.205212291298e-09       1.709428888986e-10      -8.948468924736e-13 
    7       1.173342215420e-10       6.843838595104e-15       4.365330660110e-13       2.238195578478e-18       1.778233645452e-09       1.425663919734e-10      -5.443860557750e-13 
    8       1.150094177829e-10       4.045255171463e-15       3.576614996863e-13       2.880955857619e-18       1.468351552058e-09       1.208855455015e-10      -2.689334597229e-13 
    9       1.135899919268e-10       2.339962952045e-15       2.880577370519e-13       3.605624920275e-18       1.235838583531e-09       1.038809729381e-10      -7.009986714255e-14 
   10       1.128612984744e-10       1.576066392034e-15       2.317780349352e-13       4.412633532352e-18       1.056623423828e-09       9.029295923243e-11       5.745597617096e-14 
   11       1.126830724001e-10       1.351208675464e-15       1.905546768830e-13       5.302402133552e-18       8.886898905195e-10       7.950622630132e-11       1.233291889353e-13 
   12       1.129466827297e-10       1.294588312777e-15       1.640599037638e-13       6.275328565810e-18       7.765278530358e-10       7.028428724179e-11       1.421600850600e-13 
   13       1.135320780184e-10       1.208007400460e-15       1.505250304334e-13       7.331777113461e-18       6.844563360147e-10       6.274647751893e-11       1.277329342209e-13 
   14       1.143407873742e-10       1.063264028092e-15       1.473981485734e-13       8.472069275383e-18       6.078507052824e-10       5.620930566244e-11       9.279532854742e-14 
   15       1.153792111631e-10       9.202377744369e-16       1.516646917456e-13       9.696476616760e-18       5.433693978897e-10       5.074770249768e-11       4.959311407119e-14 
   16       1.166084602677e-10       8.404031743533e-16       1.602810275224e-13       1.100521596138e-17       4.885455332579e-10       4.611882986746e-11       7.232456313704e-15 
   17       1.179454940840e-10       8.411741240896e-16       1.707677998283e-13       1.239844708802e-17       4.415155600074e-10       4.212235784118e-11      -2.792920784844e-14 
   18       1.193943799342e-10       8.950457235290e-16       1.812583724117e-13       1.387627176469e-17       4.006946031561e-10       3.857272499759e-11      -5.233421618076e-14 
   19       1.209630493967e-10       9.693348472152e-16       1.907730506887e-13       1.543874265619e-17       3.654375326654e-10       3.544036711528e-11      -6.510245634602e-14 
   20       1.225956220145e-10       1.030562381047e-15       1.985685562041e-13       1.708585506924e-17       3.343837625550e-10       3.267209571029e-11      -6.706958946768e-14 
   21       1.243040154092e-10       1.081655447458e-15       2.047244288239e-13       1.881757216756e-17       3.070458398710e-10       3.022366954712e-11      -6.038518297967e-14 
   22       1.260879248048e-10       1.140726894366e-15       2.096934184418e-13       2.063381510873e-17       2.827706842044e-10       2.801369506050e-11      -4.840846218309e-14 
   23       1.279365612671e-10       1.227172458259e-15       2.139233690409e-13       2.253449301751e-17       2.612248153763e-10       2.601111848198e-11      -3.407761841282e-14 
   24       1.298178463086e-10       1.359591117311e-15       2.179345832396e-13       2.451949307618e-17       2.419102438696e-10       2.418236742269e-11      -2.047693855529e-14 
   25       1.317486460381e-10       1.538392513129e-15       2.222217805691e-13       2.658871547137e-17       2.246000770398e-10       2.253679492586e-11      -9.447604728578e-15 
   26       1.337412803572e-10       1.756560535053e-15       2.272302499500e-13       2.874206126811e-17       2.089813633925e-10       2.107676830128e-11      -2.331880251563e-15 
   27       1.357768979032e-10       2.007678387088e-15       2.329801785544e-13       3.097946303435e-17       1.948668565684e-10       1.976940151506e-11       6.620910364467e-16 
   28       1.378198706214e-10       2.285336749692e-15       2.392873901630e-13       3.330087709990e-17       1.820132730819e-10       1.856391200309e-11      -9.525415007299e-17 
   29       1.398799356427e-10       2.589051790183e-15       2.458479687729e-13       3.570631883625e-17       1.703550529893e-10       1.745581868314e-11      -3.801163367542e-15 
   30       1.419713367118e-10       2.920067201373e-15       2.522262581245e-13       3.819584293509e-17       1.597671058240e-10       1.644629618208e-11      -9.226628412387e-15 
   31       1.440979312044e-10       3.279007073112e-15       2.579084667607e-13       4.076954331789e-17       1.500335709400e-10       1.552719255976e-11      -1.492867202234e-14 
   32       1.462626032648e-10       3.663758717462e-15       2.625223729856e-13       4.342757670416e-17       1.411042598482e-10       1.468924338432e-11      -2.002927476412e-14 
   33       1.484586467824e-10       4.070695962552e-15       2.656891991958e-13       4.617015628697e-17       1.329161025129e-10       1.391501124465e-11      -2.370100990039e-14 
   34       1.506731822770e-10       4.496668882088e-15       2.670412796990e-13       4.899754548907e-17       1.253545997206e-10       1.318312041365e-11      -2.518539285284e-14 
   35       1.529128411942e-10       4.944269828675e-15       2.664970757990e-13       5.191003954415e-17       1.183811101126e-10       1.249407441031e-11      -2.459200250716e-14 
   36       1.551854124100e-10       5.418475922292e-15       2.640842839710e-13       5.490798537655e-17       1.119397490459e-10       1.185260200153e-11      -2.238998732093e-14 
   37       1.574932989791e-10       5.924454823773e-15       2.598749110317e-13       5.799176658637e-17       1.059467524347e-10       1.126051874632e-11      -1.915230799047e-14 
   38       1.598369676678e-10       6.464531437458e-15       2.540004483608e-13       6.116171984896e-17       1.003866721605e-10       1.071667294048e-11      -1.535845079082e-14 
   39       1.622114076139e-10       7.040265208126e-15       2.466473241990e-13       6.441819620386e-17       9.524189699698e-11       1.021643311263e-11      -1.154170473575e-14 
   40       1.646043177420e-10       7.653263632321e-15       2.380572329286e-13       6.776158651435e-17       9.046339003653e-11       9.751288888952e-12      -8.351232443835e-15 
   41       1.670017466603e-10       8.304886755673e-15       2.284586091037e-13       7.119228301851e-17       8.598778056768e-11       9.311564781192e-12      -6.389549104805e-15 
   42       1.694088894282e-10       8.995242770766e-15       2.178260267340e-13       7.471054317779e-17       8.180192172369e-11       8.896400420408e-12      -5.644098772487e-15 
   43       1.718348922799e-10       9.723866992864e-15       2.060482133807e-13       7.831658553314e-17       7.789473422264e-11       8.506475630300e-12      -5.882701583716e-15 
